,location,total_sqft,bath,balcony,price,bhk
33,2nd Stage Nagarbhavi,3000.0,8.0,3.0,451.0,6.0
34,2nd Stage Nagarbhavi,2400.0,8.0,3.0,450.0,6.0
35,2nd Stage Nagarbhavi,1350.0,4.0,1.0,200.0,4.0
36,2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4.0
37,2nd Stage Nagarbhavi,1500.0,3.0,2.0,230.0,4.0
38,5th Block Hbr Layout,1206.0,2.0,2.0,56.0,2.0
39,5th Block Hbr Layout,1270.0,2.0,2.0,70.0,3.0
40,5th Block Hbr Layout,1312.0,2.0,3.0,69.0,2.0
41,5th Block Hbr Layout,1100.0,2.0,2.0,48.0,2.0
42,5th Block Hbr Layout,3600.0,5.0,3.0,130.0,5.0
43,5th Block Hbr Layout,5100.0,5.0,3.0,300.0,6.0
44,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2.0
45,5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2.0
46,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2.0
47,5th Phase JP Nagar,1207.0,2.0,2.0,63.0,2.0
48,5th Phase JP Nagar,1725.0,2.0,2.0,100.0,3.0
49,5th Phase JP Nagar,1440.0,2.0,2.0,60.0,2.0
50,5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3.0
52,5th Phase JP Nagar,2500.0,5.0,1.5823075660594124,110.0,5.0
53,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1.0
54,5th Phase JP Nagar,1390.0,2.0,2.0,65.0,2.0
55,5th Phase JP Nagar,1000.0,2.0,0.0,48.0,2.0
56,5th Phase JP Nagar,1350.0,2.0,1.0,75.0,3.0
57,5th Phase JP Nagar,552.0,1.0,1.0,23.5,1.0
58,5th Phase JP Nagar,1200.0,2.0,2.0,51.0,2.0
62,5th Phase JP Nagar,1030.0,2.0,2.0,57.0,2.0
63,5th Phase JP Nagar,1200.0,2.0,1.0,68.0,2.0
64,5th Phase JP Nagar,1190.0,2.0,2.0,61.8,2.0
65,5th Phase JP Nagar,4000.0,5.0,2.0,170.0,5.0
66,5th Phase JP Nagar,1080.0,2.0,1.0,53.0,2.0
67,5th Phase JP Nagar,1041.0,2.0,2.0,54.0,2.0
68,5th Phase JP Nagar,812.0,2.0,1.0,42.0,2.0
69,5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2.0
71,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2.0
72,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2.0
73,6th Phase JP Nagar,3245.0,4.0,1.5823075660594124,250.0,4.0
74,6th Phase JP Nagar,1645.0,3.0,3.0,100.0,3.0
75,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2.0
76,6th Phase JP Nagar,2040.0,3.0,1.5823075660594124,200.0,3.0
77,6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2.0
78,6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2.0
79,6th Phase JP Nagar,1460.0,2.0,1.5823075660594124,80.0,2.0
80,6th Phase JP Nagar,2003.0,3.0,3.0,200.0,3.0
81,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3.0
82,6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3.0
83,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2.0
84,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2.0
85,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2.0
86,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2.0
87,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3.0
88,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3.0
89,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2.0
90,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2.0
91,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3.0
92,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3.0
93,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2.0
94,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2.0
95,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3.0
96,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3.0
97,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3.0
98,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2.0
99,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2.0
101,7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3.0
102,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2.0
104,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4.0
105,7th Phase JP Nagar,2200.0,3.0,2.0,190.0,3.0
107,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3.0
108,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3.0
109,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3.0
110,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3.0
111,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2.0
114,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2.0
115,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2.0
116,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3.0
117,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2.0
118,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3.0
120,7th Phase JP Nagar,1050.0,2.0,1.0,50.0,2.0
121,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2.0
123,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3.0
124,7th Phase JP Nagar,850.0,2.0,2.0,42.0,2.0
125,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3.0
126,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3.0
127,7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2.0
128,7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2.0
129,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3.0
130,7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3.0
131,7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2.0
132,7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3.0
133,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2.0
134,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3.0
135,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3.0
136,7th Phase JP Nagar,1200.0,2.0,2.0,62.5,2.0
137,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2.0
138,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2.0
140,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3.0
141,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3.0
142,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2.0
143,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2.0
144,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3.0
145,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3.0
146,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2.0
147,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2.0
148,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3.0
149,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2.0
150,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2.0
151,7th Phase JP Nagar,980.0,2.0,1.0,86.0,2.0
152,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2.0
153,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2.0
154,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3.0
155,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2.0
156,7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3.0
157,7th Phase JP Nagar,2980.0,4.0,2.0,260.0,3.0
158,7th Phase JP Nagar,980.0,2.0,1.0,77.44,2.0
159,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3.0
161,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3.0
162,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3.0
163,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3.0
164,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3.0
165,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3.0
166,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3.0
168,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1.0
169,7th Phase JP Nagar,990.0,2.0,2.0,50.0,2.0
170,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1.0
172,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3.0
173,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2.0
174,7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2.0
176,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2.0
177,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2.0
178,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1.0
180,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2.0
182,8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3.0
183,8th Phase JP Nagar,871.0,2.0,2.0,55.0,2.0
184,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2.0
185,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3.0
186,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4.0
187,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2.0
188,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2.0
189,8th Phase JP Nagar,1080.0,2.0,2.0,35.0,2.0
191,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1.0
192,8th Phase JP Nagar,1100.0,2.0,2.0,35.0,2.0
193,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4.0
194,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2.0
195,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2.0
196,8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3.0
197,8th Phase JP Nagar,1900.0,4.0,1.0,90.0,3.0
198,8th Phase JP Nagar,500.0,1.0,1.0,30.0,1.0
199,8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2.0
200,8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2.0
201,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2.0
203,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3.0
204,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4.0
206,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2.0
208,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2.0
209,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2.0
210,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2.0
211,8th Phase JP Nagar,500.0,1.0,1.0,33.0,1.0
212,8th Phase JP Nagar,1160.0,2.0,1.0,95.0,2.0
213,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2.0
214,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2.0
215,8th Phase JP Nagar,3300.0,3.0,2.0,165.0,3.0
216,8th Phase JP Nagar,1730.0,5.0,2.0,75.0,5.0
219,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2.0
221,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3.0
223,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2.0
225,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2.0
226,9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2.0
227,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2.0
228,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4.0
229,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2.0
230,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2.0
231,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2.0
232,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2.0
233,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2.0
234,9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2.0
235,9th Phase JP Nagar,660.0,2.0,0.0,27.0,2.0
236,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1.0
237,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2.0
238,9th Phase JP Nagar,1890.0,2.0,1.5823075660594124,93.0,3.0
239,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2.0
240,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2.0
241,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2.0
242,9th Phase JP Nagar,905.0,2.0,1.0,32.0,2.0
243,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2.0
244,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3.0
245,9th Phase JP Nagar,1780.0,3.0,2.0,88.0,3.0
247,9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3.0
250,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2.0
252,9th Phase JP Nagar,5000.0,4.0,1.5823075660594124,300.0,4.0
254,9th Phase JP Nagar,1050.0,2.0,2.0,35.0,2.0
255,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2.0
256,AECS Layout,1100.0,2.0,3.0,45.0,2.0
257,AECS Layout,1028.0,2.0,1.0,42.0,2.0
258,AECS Layout,1199.0,2.0,2.0,65.0,2.0
259,AECS Layout,1080.0,2.0,2.0,55.0,2.0
260,AECS Layout,1123.0,2.0,2.0,64.0,2.0
261,AECS Layout,1308.0,2.0,1.0,60.0,2.0
262,AECS Layout,1005.0,2.0,1.0,55.0,2.0
264,Abbigere,985.0,2.0,1.0,40.39,2.0
265,Abbigere,2200.0,6.0,2.0,68.0,6.0
266,Abbigere,765.0,2.0,2.0,30.0,1.0
267,Abbigere,880.0,2.0,1.0,35.0,2.0
268,Abbigere,795.0,2.0,1.0,32.54,2.0
269,Abbigere,1005.0,2.0,1.0,39.59,2.0
270,Abbigere,734.0,1.0,0.0,19.82,1.0
272,Abbigere,1020.0,2.0,1.0,41.82,2.0
275,Abbigere,2500.0,6.0,0.0,81.0,6.0
276,Abbigere,1130.0,2.0,1.0,46.33,2.0
277,Abbigere,795.0,1.0,1.0,32.6,2.0
278,Abbigere,3000.0,8.0,0.0,150.0,8.0
279,Abbigere,985.0,2.0,1.0,38.92,2.0
280,Abbigere,1000.0,2.0,1.0,41.0,2.0
281,Abbigere,995.0,2.0,1.0,40.8,2.0
282,Abbigere,1020.0,2.0,1.0,40.8,2.0
283,Akshaya Nagar,1388.0,2.0,3.0,57.0,2.0
284,Akshaya Nagar,1070.0,2.0,1.0,54.0,2.0
285,Akshaya Nagar,1280.0,2.0,1.5823075660594124,58.0,2.0
286,Akshaya Nagar,1662.0,3.0,3.0,85.1,3.0
287,Akshaya Nagar,1897.0,3.0,2.0,120.0,3.0
288,Akshaya Nagar,1410.0,2.0,2.0,75.0,3.0
289,Akshaya Nagar,1360.0,2.0,2.0,85.0,3.0
291,Akshaya Nagar,1410.0,2.0,2.0,80.0,3.0
292,Akshaya Nagar,1662.0,3.0,2.0,85.0,3.0
293,Akshaya Nagar,1662.0,3.0,2.0,85.5,3.0
294,Akshaya Nagar,1280.0,2.0,1.0,60.0,2.0
295,Akshaya Nagar,1666.0,3.0,1.5823075660594124,95.0,3.0
296,Akshaya Nagar,1575.0,3.0,1.5823075660594124,90.0,3.0
297,Akshaya Nagar,1430.0,2.0,2.0,75.0,3.0
298,Akshaya Nagar,1419.0,2.0,3.0,73.0,3.0
299,Akshaya Nagar,1280.0,2.0,1.0,60.0,2.0
300,Akshaya Nagar,1200.0,2.0,1.0,50.0,2.0
301,Akshaya Nagar,1092.0,2.0,1.0,60.0,2.0
302,Akshaya Nagar,1690.0,3.0,2.0,85.0,3.0
304,Akshaya Nagar,1897.0,4.0,2.0,93.0,3.0
305,Akshaya Nagar,1884.0,3.0,3.0,98.0,3.0
306,Akshaya Nagar,1314.0,2.0,2.0,68.8,2.0
307,Akshaya Nagar,1690.0,3.0,2.0,85.0,3.0
308,Akshaya Nagar,1265.0,2.0,3.0,67.0,2.0
309,Akshaya Nagar,1126.0,2.0,1.0,55.0,2.0
311,Akshaya Nagar,1662.0,3.0,1.5823075660594124,90.0,3.0
312,Akshaya Nagar,1420.0,2.0,2.0,75.0,3.0
313,Akshaya Nagar,1412.0,2.0,3.0,88.0,3.0
314,Akshaya Nagar,1434.0,3.0,3.0,84.0,3.0
315,Akshaya Nagar,1890.0,4.0,2.0,100.0,3.0
317,Akshaya Nagar,1419.0,2.0,3.0,87.0,3.0
318,Akshaya Nagar,1300.0,2.0,1.0,54.0,2.0
319,Akshaya Nagar,1113.0,2.0,1.0,52.0,2.0
320,Akshaya Nagar,1820.0,4.0,2.0,95.0,3.0
321,Akshaya Nagar,1100.0,2.0,2.0,48.0,2.0
322,Akshaya Nagar,1896.0,3.0,2.0,102.0,3.0
323,Akshaya Nagar,1300.0,2.0,2.0,66.0,2.0
324,Akshaya Nagar,1225.0,2.0,0.0,68.0,2.0
325,Akshaya Nagar,1179.0,2.0,1.0,51.0,2.0
326,Akshaya Nagar,1421.0,2.0,2.0,73.0,3.0
327,Akshaya Nagar,1893.0,4.0,2.0,95.0,3.0
328,Akshaya Nagar,900.0,2.0,1.0,45.0,2.0
329,Ambalipura,1105.0,2.0,1.0,75.0,2.0
330,Ambalipura,1800.0,3.0,3.0,110.0,3.0
331,Ambalipura,1150.0,2.0,2.0,80.0,2.0
332,Ambalipura,1250.0,2.0,2.0,66.25,2.0
333,Ambalipura,1332.0,2.0,1.0,79.0,2.0
334,Ambalipura,1730.0,3.0,1.0,120.0,3.0
336,Ambalipura,1230.0,2.0,2.0,66.25,2.0
337,Ambalipura,1351.0,2.0,1.0,77.0,2.0
341,Ambalipura,1303.0,2.0,2.0,80.0,2.0
342,Ambalipura,1607.0,2.0,2.0,112.0,3.0
343,Ambalipura,770.0,1.0,2.0,43.82,1.0
344,Ambalipura,1700.0,2.0,2.0,76.0,2.0
345,Ambalipura,1060.0,2.0,1.0,58.5,2.0
346,Ambalipura,1650.0,3.0,3.0,100.0,3.0
347,Ambalipura,1198.0,2.0,2.0,80.0,2.0
348,Ambedkar Nagar,1935.0,4.0,2.0,130.0,3.0
349,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2.0
350,Ambedkar Nagar,2225.0,4.0,2.0,169.0,3.0
351,Ambedkar Nagar,1862.0,3.0,2.0,120.0,3.0
352,Ambedkar Nagar,1850.0,4.0,3.0,139.0,3.0
353,Ambedkar Nagar,1936.0,4.0,2.0,126.0,3.0
354,Ambedkar Nagar,1862.0,3.0,2.0,119.0,3.0
355,Ambedkar Nagar,2150.0,4.0,2.0,125.0,3.0
356,Ambedkar Nagar,3530.0,4.0,2.0,290.0,4.0
357,Ambedkar Nagar,1856.0,3.0,1.0,120.0,3.0
358,Ambedkar Nagar,1852.0,3.0,2.0,130.0,3.0
359,Ambedkar Nagar,1850.0,4.0,2.0,120.0,3.0
360,Ambedkar Nagar,1367.0,2.0,2.0,86.0,2.0
361,Ambedkar Nagar,3565.0,4.0,3.0,255.0,4.0
362,Ambedkar Nagar,1409.0,2.0,2.0,95.0,2.0
363,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3.0
364,Ambedkar Nagar,1921.0,4.0,3.0,129.0,3.0
365,Ambedkar Nagar,1920.0,4.0,2.0,121.0,3.0
366,Ambedkar Nagar,1935.0,4.0,2.0,125.0,3.0
367,Ambedkar Nagar,1852.0,4.0,2.0,122.0,3.0
368,Ambedkar Nagar,1852.0,3.0,2.0,125.0,3.0
369,Ambedkar Nagar,1850.0,4.0,2.0,121.0,3.0
370,Ambedkar Nagar,1425.0,2.0,1.0,94.0,2.0
371,Ambedkar Nagar,2395.0,4.0,2.0,150.0,3.0
372,Amruthahalli,900.0,2.0,1.0,40.0,2.0
373,Amruthahalli,1200.0,2.0,2.0,55.0,2.0
374,Amruthahalli,1900.0,3.0,1.0,135.0,3.0
375,Amruthahalli,924.0,2.0,1.0,45.0,2.0
376,Amruthahalli,900.0,2.0,1.0,60.0,2.0
377,Amruthahalli,1100.0,2.0,1.0,45.0,2.0
378,Amruthahalli,1200.0,2.0,1.0,55.0,2.0
382,Amruthahalli,1450.0,2.0,1.0,85.0,3.0
383,Amruthahalli,1200.0,2.0,2.0,55.0,2.0
384,Amruthahalli,1250.0,2.0,2.0,79.0,2.0
385,Amruthahalli,1190.0,2.0,2.0,50.0,2.0
386,Amruthahalli,1202.0,2.0,1.0,65.0,2.0
387,Amruthahalli,1340.0,2.0,1.0,75.0,2.0
388,Amruthahalli,2650.0,4.0,0.0,175.0,3.0
389,Amruthahalli,1450.0,2.0,1.0,90.0,3.0
390,Amruthahalli,1025.0,2.0,1.0,42.0,2.0
391,Amruthahalli,485.0,1.0,1.0,19.5,1.0
392,Anandapura,1167.0,2.0,1.0,43.76,2.0
393,Anandapura,1000.0,2.0,1.0,55.0,2.0
394,Anandapura,1141.0,2.0,1.0,42.79,2.0
396,Anandapura,1200.0,2.0,1.0,67.0,2.0
397,Anandapura,1200.0,2.0,1.0,58.0,2.0
398,Anandapura,1151.0,2.0,1.0,43.1,2.0
399,Anandapura,1141.0,2.0,1.0,42.75,2.0
400,Anandapura,900.0,2.0,0.0,48.0,2.0
401,Anandapura,1749.0,4.0,0.0,90.0,4.0
402,Anandapura,1151.0,2.0,1.0,42.9,2.0
404,Anandapura,1250.0,2.0,2.0,45.0,2.0
405,Anandapura,1151.0,2.0,1.0,43.16,2.0
406,Anandapura,1200.0,2.0,0.0,58.0,2.0
407,Anandapura,1200.0,2.0,0.0,66.0,3.0
408,Anandapura,1415.0,2.0,1.0,74.0,3.0
409,Anandapura,1200.0,2.0,1.0,50.0,2.0
410,Anandapura,1141.0,2.0,1.0,50.0,2.0
412,Ananth Nagar,500.0,1.0,1.0,14.0,1.0
413,Ananth Nagar,1100.0,2.0,2.0,31.5,2.0
414,Ananth Nagar,982.0,2.0,2.0,24.55,2.0
415,Ananth Nagar,500.0,2.0,2.0,14.0,1.0
416,Ananth Nagar,900.0,2.0,2.0,22.5,2.0
417,Ananth Nagar,908.0,2.0,1.0,26.0,2.0
418,Ananth Nagar,870.0,2.0,2.0,36.0,2.0
419,Ananth Nagar,937.0,2.0,1.0,35.0,2.0
420,Ananth Nagar,960.0,2.0,3.0,37.0,2.0
421,Ananth Nagar,500.0,1.0,1.0,14.0,1.0
422,Ananth Nagar,1000.0,2.0,1.0,29.7,2.0
423,Ananth Nagar,850.0,2.0,1.0,25.99,2.0
424,Ananth Nagar,902.0,2.0,1.0,25.26,2.0
425,Ananth Nagar,1470.0,3.0,2.0,54.0,3.0
426,Ananth Nagar,810.0,2.0,1.0,25.5,2.0
427,Ananth Nagar,890.0,2.0,1.0,27.0,2.0
428,Ananth Nagar,1200.0,2.0,1.0,36.0,2.0
430,Ananth Nagar,1319.0,3.0,1.0,42.0,3.0
431,Ananth Nagar,1000.0,2.0,3.0,25.0,2.0
432,Ananth Nagar,902.0,2.0,2.0,25.0,2.0
433,Ananth Nagar,930.0,2.0,1.0,25.99,2.0
434,Ananth Nagar,1074.0,2.0,2.0,26.85,2.0
435,Ananth Nagar,1010.0,2.0,2.0,38.0,2.0
436,Ananth Nagar,992.0,2.0,2.0,24.8,2.0
438,Anekal,656.0,2.0,1.0,22.0,2.0
439,Anekal,620.0,2.0,1.0,22.0,2.0
440,Anekal,600.0,1.0,1.0,16.5,1.0
441,Anekal,925.0,2.0,1.0,40.0,2.0
442,Anekal,530.0,1.0,1.0,18.0,1.0
443,Anekal,1800.0,3.0,2.0,68.0,3.0
444,Anekal,351.0,1.0,1.0,16.0,1.0
445,Anekal,1035.0,2.0,2.0,38.3,2.0
446,Anekal,888.0,2.0,1.0,34.0,2.0
449,Anekal,1200.0,2.0,1.0,36.0,4.0
450,Anekal,766.0,2.0,2.0,28.0,2.0
451,Anekal,967.0,2.0,1.0,45.0,3.0
452,Anekal,620.0,1.0,1.0,23.5,2.0
453,Anekal,1150.0,3.0,2.0,45.0,3.0
454,Anekal,400.0,1.0,1.0,11.5,1.0
455,Anekal,456.0,1.0,1.0,15.0,1.0
456,Anekal,2400.0,4.0,0.0,95.0,3.0
460,Anekal,420.0,1.0,1.0,12.5,1.0
461,Anekal,614.0,1.0,1.0,28.0,2.0
462,Anekal,1140.0,2.0,2.0,52.0,2.0
463,Anekal,625.0,1.0,1.0,25.0,2.0
464,Anjanapura,1850.0,4.0,2.0,86.0,4.0
465,Anjanapura,1070.0,2.0,2.0,39.0,2.0
466,Anjanapura,1500.0,3.0,1.0,121.0,3.0
467,Anjanapura,1070.0,2.0,2.0,37.0,2.0
468,Anjanapura,950.0,2.0,1.0,40.0,2.0
469,Anjanapura,1280.0,2.0,2.0,45.0,3.0
470,Anjanapura,710.0,2.0,0.0,25.0,2.0
472,Anjanapura,950.0,2.0,0.0,32.0,2.0
473,Anjanapura,1800.0,4.0,2.0,55.0,4.0
474,Anjanapura,1843.0,3.0,1.0,87.54,3.0
475,Anjanapura,1076.0,2.0,1.0,30.13,2.0
476,Anjanapura,950.0,2.0,0.0,30.0,2.0
477,Ardendale,1750.0,3.0,2.0,100.0,3.0
478,Ardendale,3198.0,4.0,3.0,200.0,4.0
479,Ardendale,2422.0,4.0,2.0,160.0,4.0
480,Ardendale,1750.0,3.0,3.0,100.0,3.0
481,Ardendale,3200.0,4.0,1.0,205.0,4.0
482,Ardendale,1728.0,3.0,2.0,95.0,3.0
483,Ardendale,2062.0,3.0,1.5823075660594124,140.0,4.0
484,Ardendale,1732.46,3.0,2.0,92.0,3.0
